Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A737831,,11/05/2016 12:12:00 PM,11/05/2016 12:12:00 PM,3604 Alta Ct in Austin (TX),Stray,Normal,Cat,Neutered Male,5 months,Domestic Shorthair Mix,White/Orange Tabby,,11/30/2016 02:23:00 PM,11/30/2016 02:23:00 PM,06/05/2016,Cat,Neutered Male,5 months,Domestic Shorthair Mix,White/Orange Tabby,0.0
A637559,Blue,09/28/2016 11:55:00 AM,09/28/2016 11:55:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Male,5 years,Pit Bull,Blue/White,Blue,10/08/2016 11:21:00 AM,10/08/2016 11:21:00 AM,09/19/2011,Dog,Intact Male,5 years,Pit Bull,Blue/White,0.0
A704521,*Goldie,06/05/2015 05:18:00 PM,06/05/2015 05:18:00 PM,5915 Old Lockhart Rd in Travis (TX),Stray,Nursing,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby,*Goldie,06/24/2015 04:41:00 PM,06/24/2015 04:41:00 PM,06/05/2014,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby,0.0
A703884,,05/29/2015 11:45:00 PM,05/29/2015 11:45:00 PM,7102 Darcus Cv in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Black/Brown,,05/31/2015 08:44:00 AM,05/31/2015 08:44:00 AM,04/29/2015,Other,Unknown,4 weeks,Bat,Black/Brown,1.0
A718401,,12/29/2015 12:58:00 PM,12/29/2015 12:58:00 PM,1201 Rutland Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White,,01/02/2016 12:09:00 PM,01/02/2016 12:09:00 PM,10/29/2015,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White,0.0
A616795,Xena,06/10/2014 06:47:00 PM,06/10/2014 06:47:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Bruss Griffon Mix,Brown Brindle,Xena,06/20/2014 03:36:00 PM,06/20/2014 03:36:00 PM,03/01/2011,Dog,Spayed Female,3 years,Bruss Griffon Mix,Brown Brindle,0.0
A730881,Dice,07/12/2016 11:55:00 AM,07/12/2016 11:55:00 AM,9516 Teasdale Ter in Austin (TX),Owner Surrender,Injured,Dog,Spayed Female,10 years,Pit Bull Mix,Tan/White,Dice,07/12/2016 02:36:00 PM,07/12/2016 02:36:00 PM,07/12/2006,Dog,Spayed Female,10 years,Pit Bull Mix,Tan/White,1.0
A753484,,07/07/2017 08:55:00 AM,07/07/2017 08:55:00 AM,309 Franklin in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Miniature Poodle Mix,White,,07/11/2017 04:41:00 PM,07/11/2017 04:41:00 PM,01/07/2016,Dog,Spayed Female,1 year,Miniature Poodle Mix,White,0.0
A765109,,01/13/2018 11:07:00 AM,01/13/2018 11:07:00 AM,Fm 812 And Circuit Of Americas in Del Valle (TX),Stray,Normal,Dog,Intact Female,1 month,Border Terrier Mix,Tan/White,,01/17/2018 05:44:00 PM,01/17/2018 05:44:00 PM,11/13/2017,Dog,Spayed Female,2 months,Border Terrier Mix,Tan/White,0.0
A705143,*Sheila,06/13/2015 04:13:00 PM,06/13/2015 04:13:00 PM,Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby,*Sheila,06/22/2015 12:57:00 PM,06/22/2015 12:57:00 PM,05/11/2015,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,0.0
A720915,Harley,02/17/2016 05:04:00 PM,02/17/2016 05:04:00 PM,3401 Webberville Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Australian Kelpie Mix,Black/Tan,Harley,02/23/2016 04:03:00 PM,02/23/2016 04:03:00 PM,02/17/2014,Dog,Spayed Female,2 years,Australian Kelpie Mix,Black/Tan,0.0
