Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Neutered Male,5,Cat,Neutered Male,5,Domestic Shorthair,0.0,PM,2016-11-05,0.7407407407407408,0.9,Quarter 3,25.0
Austin (TX),Public Assist,Normal,Intact Male,60,Dog,Intact Male,60,Pit Bull,0.0,AM,2016-09-28,0.303951367781155,0.48,Quarter 3,10.0
Travis (TX),Stray,Nursing,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2015-06-05,0.32786885245901637,0.43200000000000005,Quarter 2,19.0
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2015-05-29,1.0101010101010102,0.0,Quarter 2,2.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,2,Labrador Retriever,0.0,PM,2015-12-29,0.303951367781155,0.54,Quarter 3,4.0
Austin (TX),Public Assist,Normal,Spayed Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2014-06-10,0.7575757575757576,0.8,Quarter 2,10.0
Austin (TX),Owner Surrender,Injured,Spayed Female,120,Dog,Spayed Female,120,Pit Bull,1.0,AM,2016-07-12,0.7575757575757576,0.2,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Miniature Poodle,0.0,AM,2017-07-07,0.32786885245901637,0.54,Quarter 2,4.0
Del Valle (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,rare_dog,0.0,AM,2018-01-13,0.32786885245901637,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2015-06-13,0.32786885245901637,0.54,Quarter 2,9.0
Austin (TX),Stray,Normal,Spayed Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2016-02-17,0.7575757575757576,0.9,Quarter 1,6.0
Austin (TX),Owner Surrender,Normal,Intact Male,11,Dog,Neutered Male,11,Chihuahua Shorthair,0.0,PM,2014-09-22,0.303951367781155,0.6,Quarter 3,2.0
Austin (TX),Public Assist,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Medium Hair,0.0,PM,2016-08-31,0.7575757575757576,0.8,Quarter 2,89.0
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,AM,2013-10-16,0.303951367781155,0.43200000000000005,Quarter 3,0.0
Austin (TX),Stray,Normal,Neutered Male,2,Dog,Neutered Male,2,Pit Bull,0.0,PM,2015-05-14,0.7407407407407408,0.9,Quarter 2,0.0
Austin (TX),Stray,Normal,Spayed Female,9,Dog,Spayed Female,9,German Shepherd,0.0,AM,2015-04-13,0.7575757575757576,0.9,Quarter 1,0.0
Austin (TX),Owner Surrender,Normal,Intact Female,8,Dog,Spayed Female,8,German Shepherd,0.0,AM,2016-09-21,0.32786885245901637,0.6,Quarter 3,5.0
Austin (TX),Public Assist,Normal,Spayed Female,1,Dog,Spayed Female,10,Pit Bull,0.0,PM,2016-12-29,0.7575757575757576,0.8,Quarter 3,15.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2017-02-15,0.303951367781155,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Male,2,Dog,Neutered Male,2,rare_dog,0.0,PM,2014-01-04,0.303951367781155,0.54,Quarter 1,5.0
