Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,index,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Cat,Neutered Male,5,Domestic Shorthair Mix,Neutered Male,5,0.0,0,PM,2016-11-05,0.38461538461538464,0.9,Quarter 3,25.0
Austin (TX),Public Assist,Normal,Dog,Intact Male,60,Pit Bull,Intact Male,60,0.0,1,AM,2016-09-28,14.285714285714285,0.48,Quarter 3,10.0
Travis (TX),Stray,Nursing,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,1,0.0,2,PM,2015-06-05,0.38461538461538464,0.43200000000000005,Quarter 2,19.0
Austin (TX),Wildlife,Normal,Other,Unknown,1,Bat,Unknown,1,1.0,3,PM,2015-05-29,6.666666666666667,0.0,Quarter 2,2.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,Labrador Retriever Mix,Intact Male,2,0.0,4,PM,2015-12-29,2.0,0.54,Quarter 3,4.0
Austin (TX),Public Assist,Normal,Dog,Spayed Female,36,Bruss Griffon Mix,Spayed Female,36,0.0,5,PM,2014-06-10,50.0,0.8,Quarter 2,10.0
Austin (TX),Owner Surrender,Injured,Dog,Spayed Female,120,Pit Bull Mix,Spayed Female,120,1.0,6,AM,2016-07-12,1.5384615384615385,0.2,Quarter 2,0.0
Austin (TX),Stray,Normal,Dog,Intact Female,1,Miniature Poodle Mix,Spayed Female,1,0.0,7,AM,2017-07-07,7.6923076923076925,0.54,Quarter 2,4.0
Del Valle (TX),Stray,Normal,Dog,Intact Female,1,Border Terrier Mix,Spayed Female,2,0.0,8,AM,2018-01-13,50.0,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,9,PM,2015-06-13,0.38461538461538464,0.54,Quarter 2,9.0
Austin (TX),Stray,Normal,Dog,Spayed Female,24,Australian Kelpie Mix,Spayed Female,24,0.0,10,PM,2016-02-17,50.0,0.9,Quarter 1,6.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Male,11,Chihuahua Shorthair Mix,Neutered Male,11,0.0,11,PM,2014-09-22,1.694915254237288,0.6,Quarter 3,2.0
