Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time
Austin (TX),Stray,Normal,Neutered Male,5,Cat,Neutered Male,5,Domestic Shorthair,0.0,PM,2016-11-05
Austin (TX),Public Assist,Normal,Intact Male,60,Dog,Intact Male,60,Pit Bull,0.0,AM,2016-09-28
Travis (TX),Stray,Nursing,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2015-06-05
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2015-05-29
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,2,Labrador Retriever,0.0,PM,2015-12-29
Austin (TX),Public Assist,Normal,Spayed Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2014-06-10
Austin (TX),Owner Surrender,Injured,Spayed Female,120,Dog,Spayed Female,120,Pit Bull,1.0,AM,2016-07-12
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Miniature Poodle,0.0,AM,2017-07-07
Del Valle (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,rare_dog,0.0,AM,2018-01-13
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2015-06-13
Austin (TX),Stray,Normal,Spayed Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2016-02-17
Austin (TX),Owner Surrender,Normal,Intact Male,11,Dog,Neutered Male,11,Chihuahua Shorthair,0.0,PM,2014-09-22
Austin (TX),Public Assist,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Medium Hair,0.0,PM,2016-08-31
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,AM,2013-10-16
Austin (TX),Stray,Normal,Neutered Male,2,Dog,Neutered Male,2,Pit Bull,0.0,PM,2015-05-14
Austin (TX),Stray,Normal,Spayed Female,9,Dog,Spayed Female,9,German Shepherd,0.0,AM,2015-04-13
Austin (TX),Owner Surrender,Normal,Intact Female,8,Dog,Spayed Female,8,German Shepherd,0.0,AM,2016-09-21
Austin (TX),Public Assist,Normal,Spayed Female,1,Dog,Spayed Female,10,Pit Bull,0.0,PM,2016-12-29
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2017-02-15
Austin (TX),Stray,Normal,Intact Male,2,Dog,Neutered Male,2,rare_dog,0.0,PM,2014-01-04
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,9,Domestic Shorthair,0.0,AM,2015-12-19
Travis (TX),Stray,Normal,Intact Male,9,Dog,Neutered Male,10,Australian Cattle Dog,0.0,PM,2015-09-11
Austin (TX),Public Assist,Normal,Intact Female,24,Dog,Intact Female,24,Dachshund,0.0,PM,2019-11-14
Austin (TX),Owner Surrender,Nursing,Intact Female,1,Dog,Intact Female,1,Chihuahua Shorthair,0.0,PM,2016-12-16
Austin (TX),Stray,Normal,Intact Female,1,Dog,Intact Female,2,rare_dog,0.0,PM,2019-07-31
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2013-10-02
Austin (TX),Public Assist,Normal,Spayed Female,84,Dog,Spayed Female,84,rare_dog,0.0,AM,2015-03-15
Austin (TX),Stray,Normal,Intact Female,60,Dog,Intact Female,60,rare_dog,0.0,AM,2019-12-28
Pflugerville (TX),Public Assist,Normal,Intact Male,60,Cat,Neutered Male,60,Domestic Shorthair,0.0,PM,2014-07-09
Austin (TX),Stray,Normal,Spayed Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2017-08-14
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,6,Pointer,0.0,AM,2014-04-13
Austin (TX),Stray,Normal,Intact Male,5,Dog,Neutered Male,5,Rat Terrier,0.0,PM,2016-02-25
Travis (TX),Owner Surrender,Normal,Spayed Female,72,Dog,Spayed Female,72,Pit Bull,0.0,PM,2018-12-30
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,2,Domestic Medium Hair,0.0,PM,2019-05-01
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2019-03-30
Travis (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2016-01-17
Sunset Valley (TX),Stray,Normal,Spayed Female,72,Dog,Spayed Female,72,Pit Bull,0.0,PM,2014-01-31
Austin (TX),Stray,Normal,Intact Male,24,Cat,Intact Male,24,Domestic Shorthair,0.0,PM,2014-02-08
Austin (TX),Stray,Nursing,Intact Female,0,Cat,Intact Female,0,Domestic Shorthair,0.0,AM,2014-03-26
Austin (TX),Stray,Normal,Intact Male,5,Dog,Neutered Male,7,Pointer,0.0,AM,2015-07-28
Austin (TX),Owner Surrender,Normal,Intact Male,36,Dog,Intact Male,36,Chihuahua Shorthair,0.0,PM,2014-01-07
Austin (TX),Owner Surrender,Normal,Spayed Female,84,Cat,Spayed Female,84,Domestic Shorthair,0.0,PM,2016-06-25
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Chihuahua Shorthair,0.0,PM,2016-09-09
Austin (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2015-08-20
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,3,Domestic Shorthair,0.0,AM,2019-07-01
Austin (TX),Stray,Normal,Intact Female,2,Dog,Intact Female,3,rare_dog,0.0,PM,2017-03-02
Austin (TX),Stray,Normal,Intact Male,6,Cat,Intact Male,6,Domestic Shorthair,0.0,PM,2017-02-01
